image_id,class,confidence,bbox
img_a06f583e0575.jpg,dog,0.991619,"[10.0, 0.0, 358.0, 500.0]"
img_d1b91c80bbff.jpg,chair,0.982578,"[350.0, 203.0, 476.0, 325.0]"
img_f243cfd746d7.jpg,dog,0.976885,"[0.0, 5.0, 372.0, 370.0]"
img_487f4c263396.jpg,car,0.952628,"[36.0, 12.0, 452.0, 272.0]"
img_e494c12a6c5b.jpg,dog,0.951053,"[0.0, 0.0, 484.0, 323.0]"
img_0a0a1ba147b5.jpg,chair,0.94753,"[69.0, 269.0, 168.0, 361.0]"
img_a262c9f48726.jpg,dog,0.943706,"[11.0, 13.0, 321.0, 320.0]"
img_e41838e49de8.jpg,car,0.941879,"[202.0, 186.0, 255.0, 209.0]"
img_4e294da4e791.jpg,car,0.929803,"[104.0, 30.0, 500.0, 301.0]"
img_8887d945c1ff.jpg,car,0.928574,"[259.0, 113.0, 298.0, 130.0]"
img_bcc62485dd73.jpg,car,0.927317,"[16.0, 0.0, 487.0, 331.0]"
img_5839b6667e52.jpg,car,0.926389,"[16.0, 167.0, 83.0, 201.0]"
img_50e064427398.jpg,dog,0.924854,"[241.0, 163.0, 276.0, 231.0]"
img_b55c0aea6f30.jpg,chair,0.921503,"[167.0, 216.0, 331.0, 496.0]"
img_8ad7dff529e1.jpg,dog,0.921386,"[3.0, 15.0, 327.0, 498.0]"
img_d1b91c80bbff.jpg,chair,0.911797,"[122.0, 231.0, 277.0, 369.0]"
img_07058b977e84.jpg,chair,0.911649,"[4.0, 103.0, 47.0, 254.0]"
img_47d7b2b05ab9.jpg,car,0.896942,"[92.0, 91.0, 336.0, 443.0]"
img_708280324920.jpg,person,0.89287,"[270.0, 128.0, 333.0, 294.0]"
img_d5902ccaa98d.jpg,car,0.889855,"[4.0, 48.0, 37.0, 89.0]"
img_efc149d0a45d.jpg,person,0.889086,"[132.0, 378.0, 168.0, 432.0]"
img_1800b78ae176.jpg,dog,0.888192,"[0.0, 0.0, 431.0, 369.0]"
img_b31827bfaeed.jpg,chair,0.881488,"[105.0, 355.0, 179.0, 486.0]"
img_2546044281ea.jpg,chair,0.879469,"[1.0, 262.0, 103.0, 365.0]"
img_3cb9f153aaa1.jpg,chair,0.873614,"[388.0, 245.0, 500.0, 375.0]"
img_40289654fdb7.jpg,chair,0.873019,"[188.0, 178.0, 290.0, 287.0]"
img_9d3bfcefa649.jpg,car,0.870374,"[0.0, 5.0, 425.0, 375.0]"
img_09c5c06162a3.jpg,person,0.869059,"[42.0, 146.0, 74.0, 236.0]"
img_b1be9e338ed8.jpg,car,0.862901,"[263.0, 177.0, 323.0, 211.0]"
img_84e5336aa4a4.jpg,chair,0.860569,"[387.0, 130.0, 496.0, 302.0]"
img_dbaf9a6ec2ff.jpg,person,0.858351,"[166.0, 203.0, 180.0, 231.0]"
img_2aee533f9676.jpg,person,0.856823,"[50.0, 13.0, 249.0, 176.0]"
img_28e2e84fbd07.jpg,person,0.85541,"[458.0, 210.0, 473.0, 245.0]"
img_f5ab8398df0e.jpg,dog,0.854671,"[6.0, 25.0, 489.0, 349.0]"
img_df6fa19ae690.jpg,person,0.852587,"[162.0, 137.0, 207.0, 179.0]"
img_3d578f2ee13a.jpg,chair,0.851229,"[3.0, 98.0, 63.0, 256.0]"
img_f4ea9342d176.jpg,dog,0.84991,"[27.0, 413.0, 133.0, 496.0]"
img_e343bf5e7a0e.jpg,person,0.840046,"[84.0, 129.0, 105.0, 170.0]"
img_4d0d48a49d30.jpg,car,0.839899,"[65.0, 180.0, 97.0, 203.0]"
img_fcf40613331a.jpg,person,0.834674,"[220.0, 191.0, 298.0, 313.0]"
img_cbac228bc908.jpg,car,0.832982,"[106.0, 25.0, 164.0, 57.0]"
img_dc267e44189d.jpg,chair,0.830207,"[225.0, 285.0, 360.0, 487.0]"
img_1798e4b72e94.jpg,dog,0.824603,"[7.0, 36.0, 316.0, 494.0]"
img_572d9abf69ee.jpg,chair,0.818156,"[262.0, 168.0, 329.0, 294.0]"
img_d7c7b182718e.jpg,chair,0.811333,"[67.0, 146.0, 197.0, 373.0]"
img_f585c9ef6931.jpg,chair,0.81125,"[6.0, 10.0, 128.0, 210.0]"
img_ee4f387bc6d2.jpg,cat,0.809209,"[10.0, 32.0, 241.0, 336.0]"
img_0aef984b20f1.jpg,person,0.8092,"[7.0, 253.0, 155.0, 499.0]"
img_e37e00b106aa.jpg,person,0.808359,"[177.0, 0.0, 309.0, 60.0]"
img_6acd4f0e61de.jpg,chair,0.808289,"[366.0, 158.0, 437.0, 317.0]"
img_feb1c42fca39.jpg,chair,0.806187,"[379.0, 60.0, 498.0, 313.0]"
img_72ce8ccc7d23.jpg,chair,0.801822,"[7.0, 296.0, 59.0, 364.0]"
img_572d9abf69ee.jpg,chair,0.800476,"[269.0, 161.0, 327.0, 221.0]"
img_9116e67324f4.jpg,chair,0.79927,"[1.0, 237.0, 116.0, 370.0]"
img_af77b708c193.jpg,chair,0.78984,"[105.0, 254.0, 149.0, 326.0]"
img_c3e61a28bcb0.jpg,car,0.789582,"[93.0, 6.0, 500.0, 374.0]"
img_569025616ff8.jpg,car,0.788251,"[22.0, 163.0, 389.0, 354.0]"
img_0aef984b20f1.jpg,chair,0.787867,"[3.0, 260.0, 162.0, 500.0]"
img_9a23d9f8fac5.jpg,person,0.784884,"[234.0, 116.0, 293.0, 215.0]"
img_a5fa4e020166.jpg,person,0.784057,"[24.0, 0.0, 81.0, 84.0]"
img_c44bbafb14ca.jpg,person,0.782931,"[271.0, 52.0, 381.0, 173.0]"
img_b87de4f66fcd.jpg,person,0.782871,"[96.0, 110.0, 336.0, 271.0]"
img_fe05ccefbfc8.jpg,chair,0.780946,"[6.0, 129.0, 139.0, 365.0]"
img_379a631251ac.jpg,person,0.780302,"[309.0, 140.0, 342.0, 185.0]"
img_bdd7d6badb4b.jpg,chair,0.778965,"[104.0, 128.0, 162.0, 218.0]"
img_70dca600048b.jpg,car,0.776723,"[2.0, 175.0, 171.0, 341.0]"
img_b58616129ec5.jpg,dog,0.773416,"[25.0, 0.0, 444.0, 333.0]"
