image_id,class,confidence,bbox
img_a06f583e0575.jpg,dog,0.996755,"[18.0, 0.0, 375.0, 500.0]"
img_e494c12a6c5b.jpg,dog,0.991653,"[0.0, 0.0, 494.0, 341.0]"
img_0a0a1ba147b5.jpg,chair,0.974421,"[67.0, 265.0, 193.0, 359.0]"
img_d8129d912ab9.jpg,cat,0.974313,"[134.0, 55.0, 367.0, 334.0]"
img_9b98529ac22d.jpg,person,0.971389,"[426.0, 318.0, 478.0, 375.0]"
img_b1be9e338ed8.jpg,car,0.961899,"[256.0, 181.0, 322.0, 211.0]"
img_487f4c263396.jpg,car,0.958363,"[0.0, 0.0, 477.0, 341.0]"
img_dc267e44189d.jpg,chair,0.955325,"[224.0, 275.0, 375.0, 492.0]"
img_354fc7db94b9.jpg,person,0.953102,"[99.0, 79.0, 353.0, 330.0]"
img_07058b977e84.jpg,chair,0.952245,"[2.0, 107.0, 43.0, 248.0]"
img_533e94c9d2b1.jpg,car,0.950895,"[462.0, 181.0, 498.0, 223.0]"
img_fcf40613331a.jpg,person,0.950401,"[220.0, 198.0, 291.0, 303.0]"
img_8ad7dff529e1.jpg,dog,0.942148,"[6.0, 14.0, 324.0, 478.0]"
img_d1b91c80bbff.jpg,chair,0.941237,"[135.0, 231.0, 281.0, 375.0]"
img_9116e67324f4.jpg,chair,0.937384,"[0.0, 246.0, 123.0, 373.0]"
img_d5902ccaa98d.jpg,car,0.933504,"[1.0, 49.0, 37.0, 88.0]"
img_6598cec43dcf.jpg,car,0.932958,"[389.0, 138.0, 495.0, 212.0]"
img_342965f2054d.jpg,dog,0.928885,"[113.0, 38.0, 374.0, 317.0]"
img_f243cfd746d7.jpg,dog,0.924078,"[79.0, 96.0, 435.0, 371.0]"
img_fdd711343fc8.jpg,chair,0.921379,"[377.0, 58.0, 415.0, 124.0]"
img_feb1c42fca39.jpg,person,0.920143,"[387.0, 49.0, 491.0, 301.0]"
img_f4ea9342d176.jpg,dog,0.912666,"[20.0, 412.0, 136.0, 495.0]"
img_8887d945c1ff.jpg,car,0.910981,"[58.0, 125.0, 106.0, 151.0]"
img_d1b91c80bbff.jpg,chair,0.908414,"[360.0, 235.0, 485.0, 361.0]"
img_55650358edd7.jpg,car,0.902497,"[253.0, 187.0, 394.0, 255.0]"
img_50e064427398.jpg,dog,0.898154,"[242.0, 167.0, 273.0, 224.0]"
img_fd3a4b5d5297.jpg,person,0.897074,"[346.0, 91.0, 391.0, 134.0]"
img_a262c9f48726.jpg,dog,0.894786,"[14.0, 28.0, 322.0, 318.0]"
img_5df36d4e002d.jpg,dog,0.89413,"[257.0, 205.0, 294.0, 266.0]"
img_09c5c06162a3.jpg,person,0.889358,"[42.0, 145.0, 74.0, 230.0]"
img_362a4acd4de8.jpg,dog,0.885968,"[56.0, 155.0, 236.0, 345.0]"
img_569025616ff8.jpg,car,0.884472,"[14.0, 155.0, 442.0, 352.0]"
img_e41838e49de8.jpg,car,0.876862,"[201.0, 186.0, 254.0, 208.0]"
img_3d578f2ee13a.jpg,chair,0.875503,"[5.0, 85.0, 59.0, 239.0]"
img_0bfa1762ad8b.jpg,person,0.871478,"[8.0, 170.0, 90.0, 369.0]"
img_d74c55f3e294.jpg,cat,0.871131,"[401.0, 183.0, 487.0, 375.0]"
img_58266c0c0e14.jpg,person,0.869338,"[33.0, 37.0, 307.0, 492.0]"
img_4e294da4e791.jpg,car,0.868496,"[101.0, 12.0, 500.0, 298.0]"
img_9d3bfcefa649.jpg,car,0.866529,"[4.0, 2.0, 443.0, 374.0]"
img_a8297dd518aa.jpg,car,0.865723,"[183.0, 119.0, 268.0, 192.0]"
img_dbaf9a6ec2ff.jpg,person,0.859099,"[166.0, 204.0, 178.0, 230.0]"
img_9a23d9f8fac5.jpg,person,0.857919,"[234.0, 115.0, 291.0, 217.0]"
img_d1b91c80bbff.jpg,chair,0.857046,"[348.0, 206.0, 477.0, 322.0]"
img_ba15c1e84859.jpg,person,0.856946,"[78.0, 73.0, 317.0, 461.0]"
img_433e69843b1e.jpg,dog,0.854707,"[272.0, 226.0, 304.0, 300.0]"
img_058e3cd1e1b8.jpg,cat,0.849473,"[11.0, 19.0, 339.0, 500.0]"
img_362a4acd4de8.jpg,dog,0.84436,"[126.0, 78.0, 444.0, 234.0]"
img_058e3cd1e1b8.jpg,dog,0.839222,"[11.0, 19.0, 339.0, 500.0]"
img_9a8452cf51ba.jpg,car,0.83688,"[89.0, 75.0, 499.0, 327.0]"
img_c4f61929b00c.jpg,person,0.835191,"[211.0, 213.0, 409.0, 375.0]"
img_78fca84dd289.jpg,person,0.834865,"[118.0, 68.0, 391.0, 325.0]"
img_f5ab8398df0e.jpg,dog,0.834759,"[6.0, 31.0, 485.0, 350.0]"
img_d5902ccaa98d.jpg,person,0.830451,"[352.0, 9.0, 484.0, 125.0]"
img_9b4611599fc4.jpg,person,0.824643,"[177.0, 127.0, 417.0, 372.0]"
img_38a51eee7d1d.jpg,person,0.823344,"[105.0, 14.0, 376.0, 273.0]"
img_708280324920.jpg,person,0.822552,"[260.0, 131.0, 327.0, 341.0]"
img_a87728800326.jpg,person,0.82096,"[115.0, 55.0, 324.0, 362.0]"
img_d6f785ff5edc.jpg,dog,0.820049,"[9.0, 62.0, 203.0, 282.0]"
img_044a29b88f57.jpg,person,0.817483,"[85.0, 104.0, 100.0, 130.0]"
img_6ee9c4053d9d.jpg,chair,0.815946,"[307.0, 253.0, 431.0, 375.0]"
img_cbac228bc908.jpg,car,0.81378,"[104.0, 24.0, 162.0, 59.0]"
img_3cb9f153aaa1.jpg,person,0.808027,"[88.0, 155.0, 111.0, 185.0]"
img_bcc62485dd73.jpg,car,0.807792,"[6.0, 2.0, 500.0, 342.0]"
img_72ce8ccc7d23.jpg,chair,0.805265,"[7.0, 295.0, 67.0, 365.0]"
img_7bbf4b2adfd8.jpg,car,0.805186,"[203.0, 330.0, 337.0, 375.0]"
img_1f65c0af8df7.jpg,person,0.804743,"[189.0, 0.0, 256.0, 144.0]"
img_50e064427398.jpg,car,0.800922,"[469.0, 92.0, 500.0, 108.0]"
img_1e6d47d39df5.jpg,car,0.798652,"[209.0, 230.0, 242.0, 259.0]"
img_c7056298241e.jpg,person,0.798354,"[76.0, 80.0, 296.0, 322.0]"
img_866338abaed1.jpg,person,0.797023,"[288.0, 212.0, 335.0, 264.0]"
img_2546044281ea.jpg,chair,0.795038,"[0.0, 270.0, 117.0, 377.0]"
img_84e5336aa4a4.jpg,chair,0.793886,"[388.0, 141.0, 498.0, 282.0]"
img_897e7a68dba7.jpg,chair,0.786552,"[203.0, 322.0, 295.0, 375.0]"
img_63cd7dffeadb.jpg,person,0.779575,"[238.0, 73.0, 279.0, 108.0]"
img_27ac3a0bc91a.jpg,car,0.779253,"[321.0, 111.0, 388.0, 176.0]"
img_b0ca5fa36a5a.jpg,cat,0.774632,"[7.0, 2.0, 477.0, 356.0]"
img_3110868f6ef6.jpg,person,0.773854,"[96.0, 132.0, 116.0, 169.0]"
img_40289654fdb7.jpg,chair,0.771176,"[187.0, 176.0, 300.0, 274.0]"
img_a5fa4e020166.jpg,person,0.765098,"[31.0, 0.0, 79.0, 104.0]"
img_ffef51bfcf37.jpg,chair,0.763811,"[330.0, 143.0, 385.0, 190.0]"
img_7d60938325bd.jpg,chair,0.763729,"[2.0, 254.0, 276.0, 375.0]"
img_09bebfc9c2bd.jpg,person,0.759921,"[140.0, 30.0, 243.0, 313.0]"
img_4cf39f058bc2.jpg,person,0.758812,"[249.0, 166.0, 277.0, 189.0]"
img_182a41c94b50.jpg,car,0.757375,"[31.0, 60.0, 73.0, 86.0]"
img_43bc8807b7b3.jpg,car,0.756236,"[1.0, 3.0, 166.0, 142.0]"
