image_id,class,confidence,bbox
img_bcc62485dd73.jpg,car,0.9988,"[0.0, 0.0, 493.0, 342.0]"
img_d1b91c80bbff.jpg,chair,0.997189,"[130.0, 234.0, 284.0, 375.0]"
img_d1b91c80bbff.jpg,chair,0.996621,"[343.0, 204.0, 484.0, 370.0]"
img_0a0a1ba147b5.jpg,chair,0.995946,"[66.0, 263.0, 160.0, 358.0]"
img_dc267e44189d.jpg,chair,0.99522,"[225.0, 268.0, 375.0, 493.0]"
img_2df8caa88877.jpg,car,0.990688,"[223.0, 284.0, 353.0, 330.0]"
img_a5fa4e020166.jpg,chair,0.989266,"[308.0, 61.0, 384.0, 156.0]"
img_d5902ccaa98d.jpg,car,0.988285,"[0.0, 48.0, 35.0, 87.0]"
img_5c07f2cd1a5a.jpg,dog,0.986018,"[182.0, 213.0, 317.0, 460.0]"
img_54b53434c21c.jpg,chair,0.983547,"[52.0, 17.0, 149.0, 100.0]"
img_96839b4fc17d.jpg,car,0.982712,"[194.0, 221.0, 297.0, 305.0]"
img_b31827bfaeed.jpg,chair,0.98225,"[106.0, 317.0, 173.0, 489.0]"
img_9c8ed15dfc78.jpg,cat,0.978863,"[31.0, 115.0, 223.0, 331.0]"
img_d8129d912ab9.jpg,cat,0.978338,"[114.0, 57.0, 361.0, 347.0]"
img_43bc8807b7b3.jpg,car,0.972653,"[4.0, 0.0, 137.0, 147.0]"
img_354fc7db94b9.jpg,person,0.971203,"[91.0, 72.0, 373.0, 334.0]"
img_a291d394b19e.jpg,chair,0.970593,"[326.0, 201.0, 462.0, 333.0]"
img_4e2a1abd6f09.jpg,chair,0.969183,"[11.0, 2.0, 133.0, 200.0]"
img_f0592a6c91da.jpg,chair,0.967314,"[5.0, 325.0, 139.0, 391.0]"
img_e494c12a6c5b.jpg,dog,0.967219,"[0.0, 4.0, 491.0, 329.0]"
img_0aef984b20f1.jpg,chair,0.967009,"[4.0, 277.0, 169.0, 488.0]"
img_72aa37312e53.jpg,chair,0.965864,"[252.0, 0.0, 363.0, 241.0]"
img_dbaf9a6ec2ff.jpg,person,0.964219,"[165.0, 204.0, 178.0, 230.0]"
img_c81e6588e6ff.jpg,chair,0.962478,"[415.0, 268.0, 500.0, 351.0]"
img_b55c0aea6f30.jpg,chair,0.96042,"[0.0, 319.0, 192.0, 494.0]"
img_cb9e04683033.jpg,dog,0.958371,"[0.0, 326.0, 82.0, 447.0]"
img_3110868f6ef6.jpg,person,0.958094,"[97.0, 132.0, 117.0, 166.0]"
img_362a4acd4de8.jpg,dog,0.956032,"[101.0, 83.0, 435.0, 237.0]"
img_e87b0d33fda8.jpg,car,0.955673,"[188.0, 20.0, 269.0, 57.0]"
img_326a06a3c024.jpg,chair,0.953527,"[139.0, 245.0, 220.0, 373.0]"
img_fdd711343fc8.jpg,chair,0.953106,"[377.0, 55.0, 415.0, 124.0]"
img_50e064427398.jpg,dog,0.950823,"[241.0, 168.0, 273.0, 228.0]"
img_1e549b67da42.jpg,chair,0.950365,"[3.0, 228.0, 175.0, 374.0]"
img_f5ab8398df0e.jpg,cat,0.948133,"[2.0, 30.0, 487.0, 359.0]"
img_342965f2054d.jpg,dog,0.947274,"[102.0, 37.0, 380.0, 318.0]"
img_b49175e411cf.jpg,chair,0.945903,"[75.0, 221.0, 250.0, 487.0]"
img_83bb828b3674.jpg,car,0.944216,"[9.0, 14.0, 407.0, 375.0]"
img_f82dfbc3891a.jpg,chair,0.93387,"[0.0, 122.0, 53.0, 225.0]"
img_636d9373a3c4.jpg,person,0.931974,"[16.0, 0.0, 366.0, 414.0]"
img_897e7a68dba7.jpg,chair,0.926277,"[210.0, 324.0, 325.0, 375.0]"
img_e37e00b106aa.jpg,person,0.922422,"[179.0, 0.0, 336.0, 56.0]"
img_c8be22aeec2f.jpg,dog,0.921111,"[242.0, 23.0, 309.0, 74.0]"
img_a87728800326.jpg,person,0.920409,"[93.0, 56.0, 324.0, 375.0]"
img_57e79ba9bc2b.jpg,chair,0.919537,"[1.0, 38.0, 56.0, 180.0]"
img_9a8452cf51ba.jpg,car,0.915701,"[35.0, 69.0, 500.0, 331.0]"
img_0bfa1762ad8b.jpg,person,0.913715,"[18.0, 183.0, 89.0, 370.0]"
img_1438ad9fe1ba.jpg,person,0.912965,"[381.0, 134.0, 466.0, 230.0]"
img_4e294da4e791.jpg,car,0.911283,"[95.0, 22.0, 500.0, 314.0]"
img_b58616129ec5.jpg,cat,0.909323,"[31.0, 0.0, 458.0, 333.0]"
img_5d2fa79c0e36.jpg,person,0.907282,"[10.0, 43.0, 129.0, 324.0]"
img_22709a67a8ac.jpg,dog,0.905728,"[155.0, 242.0, 199.0, 303.0]"
