image_id,class,confidence,bbox
img_0bfa1762ad8b.jpg,person,0.998687,"[23.0, 175.0, 92.0, 367.0]"
img_d5902ccaa98d.jpg,car,0.998528,"[2.0, 47.0, 35.0, 88.0]"
img_bcc62485dd73.jpg,car,0.998442,"[0.0, 0.0, 500.0, 342.0]"
img_182a41c94b50.jpg,car,0.997469,"[31.0, 59.0, 77.0, 85.0]"
img_63e40c7df9b3.jpg,person,0.996842,"[28.0, 98.0, 51.0, 145.0]"
img_40de560322b6.jpg,car,0.996787,"[16.0, 206.0, 79.0, 230.0]"
img_e87b0d33fda8.jpg,car,0.996536,"[187.0, 21.0, 268.0, 55.0]"
img_62da33f3d2c5.jpg,person,0.996503,"[68.0, 257.0, 85.0, 302.0]"
img_09bebfc9c2bd.jpg,person,0.995949,"[142.0, 53.0, 233.0, 248.0]"
img_dbaf9a6ec2ff.jpg,person,0.995789,"[165.0, 204.0, 178.0, 232.0]"
img_d74c55f3e294.jpg,person,0.995593,"[405.0, 178.0, 493.0, 364.0]"
img_fcf40613331a.jpg,person,0.995121,"[214.0, 194.0, 290.0, 307.0]"
img_07058b977e84.jpg,chair,0.994974,"[0.0, 112.0, 44.0, 241.0]"
img_58bdd5669997.jpg,person,0.994791,"[1.0, 178.0, 21.0, 209.0]"
img_fdd711343fc8.jpg,chair,0.994574,"[376.0, 61.0, 421.0, 127.0]"
img_e41838e49de8.jpg,car,0.994244,"[195.0, 182.0, 257.0, 209.0]"
img_5839b6667e52.jpg,car,0.99422,"[11.0, 163.0, 82.0, 202.0]"
img_182a41c94b50.jpg,dog,0.99389,"[154.0, 116.0, 276.0, 284.0]"
img_379a631251ac.jpg,person,0.993876,"[311.0, 142.0, 338.0, 182.0]"
img_c9ba3fb5c863.jpg,chair,0.993501,"[48.0, 88.0, 103.0, 120.0]"
img_d1b91c80bbff.jpg,chair,0.992816,"[355.0, 202.0, 482.0, 365.0]"
img_535eef2ca3e2.jpg,person,0.992702,"[3.0, 53.0, 21.0, 101.0]"
img_4e5886de23ec.jpg,person,0.992303,"[208.0, 92.0, 251.0, 159.0]"
img_3110868f6ef6.jpg,person,0.991925,"[43.0, 129.0, 56.0, 154.0]"
img_09c5c06162a3.jpg,person,0.991484,"[41.0, 143.0, 74.0, 234.0]"
